model,canonical,app_selectable,responses_api,batch_api,app_live,app_batch,strict_json_schema,reasoning_effort,reasoning_mode,reasoning_summary,temperature_top_p,file_id_input,image_input,pdf_input,file_search_vector_stores,image_detail,context_window,max_input_tokens,max_output_tokens,service_tier_live,service_tier_batch,prompt_cache_retention,prompt_cache_options,all_documented_features,all_documented_endpoints,notes,source,source_sha256
babbage-002,babbage-002,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,16384,"auto,default","auto,default",,False,fine_tuning,v1/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/babbage-002,24803ea2bc92755feef9bb2792e20288d78b4f19ea809af4fa1785b548581184
chat-latest,chat-latest,True,True,False,True,False,True,,,,omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search,file_uploads","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/chat-latest,affd524ddb43e411b6d9ecef82da4da796e4178ef7e6822c16c9629e7afabc11
chatgpt-4o-latest,chatgpt-4o-latest,False,True,False,False,False,False,,,,omit,False,True,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"image_input,predicted_outputs,streaming","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/chatgpt-4o-latest,2ea80ac0bc0c149ecd7279249738597b2cc270fd9bfdc53356b48f451ba84122
chatgpt-image-latest,chatgpt-image-latest,False,False,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,,"auto,default","auto,default",,False,inpainting,"v1/batch,v1/images/generations,v1/images/edits",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/chatgpt-image-latest,dc3ab9a63e90a00469c999ad6a5b160bd5727ac1d3d839ff24be6a60e12f90b0
codex-mini-latest,codex-mini-latest,True,True,False,True,False,True,"low,medium,high",,"auto,detailed",omit,True,True,True,False,"auto,low,high",200000,,100000,"auto,default","auto,default",in_memory,False,"evals,function_calling,image_input,prompt_caching,stored_completions,streaming,structured_outputs,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/codex-mini-latest,e4bc9680c2fa0c13106e316a2f31139b680e7ac400267e935f7f932f0c1917e0
computer-use-preview,computer-use-preview,False,True,True,False,False,False,,,"auto,detailed",omit,False,False,False,False,"auto,low,high",8192,,1024,"auto,default","auto,default",,False,function_calling,"v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/computer-use-preview,c6bcfd81a46d6c08af27f35c51fa9046728faadf80791e3ce52bd1963e79447f
computer-use-preview-2025-03-11,computer-use-preview,False,True,True,False,False,False,,,"auto,detailed",omit,False,False,False,False,"auto,low,high",8192,,1024,"auto,default","auto,default",,False,function_calling,"v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/computer-use-preview,c6bcfd81a46d6c08af27f35c51fa9046728faadf80791e3ce52bd1963e79447f
davinci-002,davinci-002,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",,,16384,"auto,default","auto,default",,False,fine_tuning,v1/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/davinci-002,3c328f6a7913cfb1db8ae4ac0ac24536a2c3f9032d1beecfb1613453161414fc
gpt-3.5-turbo,gpt-3.5-turbo,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16385,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-3.5-turbo,fcf962b2f7886bbe4f2ff668df92ed8a3aba858d00f9d72a222a9c61d53a0ad6
gpt-3.5-turbo-0125,gpt-3.5-turbo,False,True,True,False,False,False,,,,omit,False,False,False,False,"auto,low,high",16385,,4096,"auto,default","auto,default",,False,fine_tuning,"v1/chat/completions,v1/responses,v1/batch,v1/fine-tuning",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-3.5-turbo,fcf962b2f7886bbe4f2ff668df92ed8a3aba858d00f9d72a222a9c61d53a0ad6
